Time_epoch,Transmitted_speed (km/hr),Transmitted_latitude (degrees),Transmitted_longitude (degrees),Transmitted_altitude (meters),Transmitted_heading_angle (degrees),Transmitted_timestamp (HH:MM:SS.mmm),Cloud_latitude (degrees),Cloud_longitude (degrees),Distance (meters),Received_packet_timestamp (HH:MM:SS.mmm),Latency_of_packet_transmission (ms),Packet_error_rate,Cloud_total_transferred_data (MBytes),Cloud_average_bandwidth_client (Mbits/sec),Cloud_total_transferred_data_server (MBytes),Cloud_average_bandwidth_server (Mbits/sec),Cloud_download_speed (Mbits/sec),Cloud_upload_speed (Mbits/sec),Cloud_latency (ms),Data_rate (Mbits/sec)
1715959880,59,17.6025594,78.1271268,522.476,90,30:57.7,17.59994,78.1257,328.1826402,30:57.8,57,0.235552788,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959881,35,17.6025891,78.1271229,522.565,352.5191139,30:57.8,17.59994,78.1257,330.9285283,30:57.9,60,0.059902135,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959882,31,17.6026194,78.127112,522.492,340.2145168,30:57.9,17.59994,78.1257,333.4108917,30:58.0,51,0.154270332,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959883,57,17.6026194,78.127112,522.492,90,30:58.0,17.59994,78.1257,333.4108917,30:58.1,51,0.177724371,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959884,50,17.6026509,78.1270931,522.468,329.0362435,30:58.1,17.59994,78.1257,335.6585161,30:58.2,53,0.013935124,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959885,30,17.6026804,78.1270667,522.399,318.1741534,30:58.2,17.59994,78.1257,337.3966635,30:58.3,53,0.182263456,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959886,41,17.6026804,78.1270667,522.399,90,30:58.3,17.59994,78.1257,337.3966635,30:58.4,53,0.051157237,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959887,55,17.6027046,78.1270353,522.391,307.6214642,30:58.4,17.59994,78.1257,338.4236878,30:58.5,59,0.019515478,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959888,51,17.6027224,78.1269987,522.316,295.9354526,30:58.5,17.59994,78.1257,338.6272608,30:58.6,53,0.284665661,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959889,58,17.6027224,78.1269987,522.316,90,30:58.6,17.59994,78.1257,338.6272608,30:58.7,53,0.28968961,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959890,41,17.6027325,78.1269571,522.232,283.6467031,30:58.7,17.59994,78.1257,337.8908546,30:58.8,58,0.242519204,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
